SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
204,Breath of Fire,Breath of Fire,Fate,SNES,THEME,Sara,,
205,Tales of Legendia,Tales of Legendia,"The Birds Chirp, I Sing",PS2,LEVEL,Chapter 1 ~ Mountain Path,,
206,Yoshi's Island,Yoshi's Island,Castle,SNES,LEVEL,Castle Stages,,
207,Final Fantasy IX,Final Fantasy IX,Wild Skirmish,PS1,PLAY,Enemy Battles,,
208,Dragon Ball Z: Butōden 2,Dragon Ball Z: Butōden 2,Vegeta's Theme,SNES,THEME,Vegeta,,
209,Pokémon Card Battle,Pokémon Card Battle,Club Master Duel!,GBC,BOSS,Club Masters,,
210,Opoona,Opoona,Bravo Company,WII,LEVEL,Intelligent Sea ~ Bravo Company,,
211,Silent Hill: Origins,Silent Hill: Origins,Blowback,PSP,SCENE,Staff Credits,,
212,Mega Man 3,Mega Man 3,Wily's Laboratory,NES,LEVEL,Wily's Laboratory (Wily's Stage 3 & 4),,
213,Streets of Rage,Streets of Rage,Fighting In The Street,GEN,LEVEL,Round 1,,
214,Final Fantasy VI,Final Fantasy VI,Dancing Mad,SNES,BOSS,FINAL BOSS ~ Almighty Kefka,,
215,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,Backwood Chateau,N64,LEVEL,Backwood Chateau (Forest Temple),,
216,Xenosaga Episode II: Jenseits von Gut und Böse,Xenosaga II: Jenseits von Gut und Böse,Fatal Fight,PS2,SCENE,Old Miltia (Prologue) ~ Captain Jin Uzuki VS Colonel Margulis,,
217,Daytona USA,Daytona USA,Sky High,ARC,LEVEL,Expert Course,,
218,Skies of Arcadia,Skies of Arcadia,Pirate Island,DC,LEVEL,Pirate Island,,
219,Asterix and the Solo Rescue,Asterix and the Solo Rescue,Ending,NES,SCENE,Ending & Credits,,
220,Yoshi's Islands,Yoshi's Islands,Wild & Windy,DS,LEVEL,Wild & Windy Stages,,
221,Secret of Mana,Secret of Mana,Into The Thick Of It,SNES,LEVEL,Field (Overworld),,
222,Grandia III,Grandia III,Attack With Conviction!,PS2,PLAY,Enemy Battles,,
223,Super Mario Bros. 3,Super Mario Bros. 3,Athletic,NES,LEVEL,Mushroom Kingdom Stages,,
224,Castlevania: Dawn of Sorrow,Castlevania: Dawn of Sorrow,Condemned Tower,DS,LEVEL,Condemned Tower,,
225,Tetris Attack,Tetris Attack,Poochy's Theme,SNES,THEME,Poochy,,
226,Shadow Hearts: Covenant,Shadow Hearts II,The Fate,PS2,SCENE,The Party confront Masaji Kato as he summons the Asuka Stone Platform Bell,,
227,Ragnarok Online 2,Ragnarok Online 2,Clap And Walk,PC,THEME,"Unused ~ A Beach Theme presumably, but was removed in the Legend Of The Second Version",,
228,Blaster Master,Blaster Master,Forest,NES,LEVEL,Stage 1,,
229,Star Ocean II: The Second Story,Star Ocean II: The Second Story,Shower Of Blossoms,PS1,LEVEL,Krosse City,,
230,Plok,Plok,Akrillic,SNES,LEVEL,World 2: Akrillic Island ~ Stage 2: Sleepy Dale,,
231,Wild Arms 5,Wild ARMs 5,Terrible Monster Attacking Crew,PS2,BOSS,Boss Battles,,
232,Chrono Trigger,Chrono Trigger,To Far Away Times,SNES,SCENE,Staff Credits,,
233,Breath of Fire IV,Breath of Fire IV,Yet The Merchants Will Go,PS1,LEVEL,Synesta,,
234,Earthbound,Mother 2,You've Come Far,SNES,SCENE,Saturn Valley ~ Coffee Break,,
235,Atelier Iris 3: Grand Phantasm,Atelier Iris 3: Grand Phantasm,Rain Of Blossoms,PS2,BOSS,Yula,,
236,Castlevania II: Simon's Quest,Castlevania II: Simon's Quest,Silence Of The Daylight,NES,LEVEL,Villages ~ Day,,
237,Lost Odyssey,Lost Odyssey,A Sign Of Hope,X360,SCENE,Lirum's Miracle,,
238,Super Mario World,Super Mario World,Castle,SNES,LEVEL,Castle Stages,,
239,Donkey Kong Country 2: Diddy's Kong Quest,DK Country 2: Diddy's Kong Quest,Hot Head Bop,SNES,LEVEL,Hothead Hop / Redhot Ride / Fiery Furnace,,
240,Gargoyle's Crest III,Gargoyle's Crest III,Metropolis Of Ruin,SNES,LEVEL,Stage 2: Village,,
241,Katamari Damacy,Katamari Damacy,Cherry Blossom Colour Season,PS2,LEVEL,Make Taurus / Make Pisces,,
